TagID 110007 	 TagName StatisticsFaceScores 			 Size 10 	 Type 0 	 TagType 0 
TagID 110008 	 TagName StatisticsHistogram 			 Size 384 	 Type 1 	 TagType 0 
TagID 110009 	 TagName StatisticsSharpnessMap 			 Size 1200 	 Type 1 	 TagType 0 
TagID 11000a 	 TagName StatisticsLensShadingCorrectionMap 			 Size 1 	 Type 0 	 TagType 0 
TagID 11000b 	 TagName StatisticsLensShadingMap 			 Size 3536 	 Type 2 	 TagType 0 
TagID 11000c 	 TagName StatisticsPredictedColorGains 			 Size 16 	 Type 2 	 TagType 0 
TagID 11000d 	 TagName StatisticsPredictedColorTransform 			 Size 72 	 Type 5 	 TagType 0 
TagID 11000e 	 TagName StatisticsSceneFlicker 			 Size 1 	 Type 0 	 TagType 0 
TagID 11000f 	 TagName StatisticsHotPixelMap 			 Size 2040 	 Type 1 	 TagType 0 
TagID 110010 	 TagName StatisticsLensShadingMapMode 			 Size 1 	 Type 0 	 TagType 0 
TagID 110011 	 TagName StatisticsOISDataMode 			 Size 1 	 Type 0 	 TagType 0 
TagID 110012 	 TagName StatisticsOISTimestamps 			 Size 8 	 Type 3 	 TagType 0 
TagID 110013 	 TagName StatisticsOISXShifts 			 Size 4 	 Type 2 	 TagType 0 
TagID 110014 	 TagName StatisticsOISYShifts 			 Size 4 	 Type 2 	 TagType 0 
TagID 120000 	 TagName StatisticsInfoAvailableFaceDetectModes 			 Size 3 	 Type 0 	 TagType 0 
TagID 120001 	 TagName StatisticsInfoHistogramBucketCount 			 Size 4 	 Type 1 	 TagType 0 
TagID 120002 	 TagName StatisticsInfoMaxFaceCount 			 Size 4 	 Type 1 	 TagType 0 
TagID 120003 	 TagName StatisticsInfoMaxHistogramCount 			 Size 4 	 Type 1 	 TagType 0 
TagID 120004 	 TagName StatisticsInfoMaxSharpnessMapValue 			 Size 4 	 Type 1 	 TagType 0 
TagID 120005 	 TagName StatisticsInfoSharpnessMapSize 			 Size 8 	 Type 1 	 TagType 0 
TagID 120006 	 TagName StatisticsInfoAvailableHotPixelMapModes 			 Size 2 	 Type 0 	 TagType 0 
TagID 120007 	 TagName StatisticsInfoAvailableLensShadingMapModes 			 Size 2 	 Type 0 	 TagType 0 
TagID 120008 	 TagName StatisticsInfoAvailableOISDataModes 			 Size 2 	 Type 0 	 TagType 0 
TagID 130000 	 TagName TonemapCurveBlue 			 Size 512 	 Type 2 	 TagType 0 
TagID 130001 	 TagName TonemapCurveGreen 			 Size 512 	 Type 2 	 TagType 0 
TagID 130002 	 TagName TonemapCurveRed 			 Size 512 	 Type 2 	 TagType 0 
TagID 130003 	 TagName TonemapMode 			 Size 1 	 Type 0 	 TagType 0 
TagID 130004 	 TagName TonemapMaxCurvePoints 			 Size 4 	 Type 1 	 TagType 0 
TagID 130005 	 TagName TonemapAvailableToneMapModes 			 Size 5 	 Type 0 	 TagType 0 
TagID 130006 	 TagName TonemapGamma 			 Size 4 	 Type 2 	 TagType 0 
TagID 130007 	 TagName TonemapPresetCurve 			 Size 1 	 Type 0 	 TagType 0 
TagID 140000 	 TagName LedTransmit 			 Size 1 	 Type 0 	 TagType 0 
TagID 140001 	 TagName LedAvailableLeds 			 Size 1 	 Type 0 	 TagType 0 
TagID 150000 	 TagName InfoSupportedHardwareLevel 			 Size 1 	 Type 0 	 TagType 0 
TagID 150001 	 TagName InfoVersion 			 Size 1 	 Type 0 	 TagType 0 
TagID 150002 	 TagName InfoSupportedBufferManagementVersion 			 Size 1 	 Type 0 	 TagType 0 
TagID 160000 	 TagName BlackLevelLock 			 Size 1 	 Type 0 	 TagType 0 
TagID 170000 	 TagName SyncFrameNumber 			 Size 8 	 Type 3 	 TagType 0 
TagID 170001 	 TagName SyncMaxLatency 			 Size 4 	 Type 1 	 TagType 0 
TagID 180000 	 TagName ReprocessEffectiveExposureFactor 			 Size 4 	 Type 2 	 TagType 0 
TagID 180001 	 TagName ReprocessMaxCaptureStall 			 Size 4 	 Type 1 	 TagType 0 
